Submit Time,Wait Time,Run Time,No. Allocated Processors,Requested Memory,Flavor
1/1/70 5:48 AM,5,59,1,1024,1
1/1/70 5:59 AM,23,968,4,4096,555
1/1/70 5:59 AM,13,68,1,1024,1
1/1/70 6:02 AM,11,478,1,11840,15
1/1/70 6:06 AM,6653,713,8,32768,623
1/1/70 6:11 AM,6,31,1,11840,15
1/1/70 6:12 AM,9,1370,1,3200,152
1/1/70 6:14 AM,6,77,1,1024,1
1/1/70 6:14 AM,5,67,1,11840,15
1/1/70 6:17 AM,10,49,1,11840,15
1/1/70 6:19 AM,5,1427,4,8192,612
1/1/70 6:20 AM,4,10,1,11840,15
1/1/70 6:21 AM,7,25,1,11840,15
1/1/70 6:22 AM,5,1023,1,11840,15
1/1/70 6:23 AM,6,49,2,16384,326
1/1/70 6:26 AM,6,8460,4,8192,612
1/1/70 6:28 AM,4,72,2,16384,326
1/1/70 6:33 AM,5,131,2,16384,326
1/1/70 6:36 AM,4,61,4,5904,583
1/1/70 6:36 AM,3,114,4,8192,612
1/1/70 6:36 AM,5,24,1,3200,152
1/1/70 6:38 AM,6,297,1,1024,1
1/1/70 6:40 AM,7,28,2,3200,358
1/1/70 6:40 AM,5,123,1,11840,15
1/1/70 6:42 AM,4,7500,4,5904,583
1/1/70 6:44 AM,3,25,2,3200,358
1/1/70 6:44 AM,5,1015,1,11840,15
1/1/70 6:44 AM,4,45,1,1024,1
1/1/70 6:47 AM,7,3617,1,8192,244
1/1/70 6:49 AM,6,659,1,1024,1
1/1/70 6:49 AM,6,27,2,3200,358
1/1/70 6:49 AM,3,76,4,8192,612
1/1/70 6:56 AM,4,95,4,8192,612
1/1/70 6:57 AM,60,30,2,3200,358
1/1/70 6:58 AM,6527,347,4,16384,497
1/1/70 7:01 AM,4,847,2,8192,424
1/1/70 7:03 AM,6,35,1,11840,15
1/1/70 7:06 AM,6402,174,4,12288,460
1/1/70 7:06 AM,6,28,1,11840,15
1/1/70 7:07 AM,7,119,1,1024,1
1/1/70 7:09 AM,4,77,1,11840,15
1/1/70 7:17 AM,9,111,1,1024,1
1/1/70 7:24 AM,6,35,1,11840,15
1/1/70 7:24 AM,10,65,1,1024,1
1/1/70 7:27 AM,7,27,1,11840,15
1/1/70 7:31 AM,6,26,1,11840,15
1/1/70 7:35 AM,7,40,1,1024,1
1/1/70 7:36 AM,5,25,1,11840,15
1/1/70 7:39 AM,5,38,1,1024,1
1/1/70 7:40 AM,6,442,1,11840,15
1/1/70 7:40 AM,9,23,1,3200,152
1/1/70 7:42 AM,6,2649,1,1920,82
1/1/70 7:46 AM,7,54,1,1024,1
1/1/70 7:49 AM,5,4125,1,8192,244
1/1/70 7:50 AM,4,5186,1,1024,1
1/1/70 7:55 AM,5,302,1,11840,15
1/1/70 8:02 AM,6,83,1,11840,15
1/1/70 8:04 AM,5,462,1,11840,15
1/1/70 8:04 AM,8,50,1,11840,15
1/1/70 8:04 AM,292,5101,8,32768,623
1/1/70 8:08 AM,62,38,1,11840,15
1/1/70 8:11 AM,4,10416,2,9600,436
1/1/70 8:12 AM,5,37,1,11840,15
1/1/70 8:16 AM,10,43,1,11840,15
1/1/70 8:18 AM,11,663,1,3200,152
